"Komentarz","Sentyment"
"Obsługa w urzędzie była szybka i miła, aż się zdziwiłem!","True"
"Godziny czekania, a pani w okienku jeszcze niemiła.","False"
"Zwykła wizyta, nic specjalnego, załatwiłem co trzeba.","False"
"Pani urzędniczka bardzo pomocna, wszystko jasno wyjaśniła.","True"
"Totalny chaos, nikt nie wie, co robić.","False"
"Spodziewałem się gorszego, a poszło gładko.","True"
"Niekompetencja na każdym kroku, tragedia.","False"
"Długa kolejka, ale obsługa w miarę uprzejma.","False"
"Wspaniała obsługa, załatwili mi sprawę w 10 minut!","True"
"Zero informacji, musiałem sam wszystkiego szukać.","False"
"Urzędnicy bardzo życzliwi, aż miło tam wrócić.","True"
"Pani w okienku opryskliwa, zero szacunku.","False"
"Średnio, mogliby się bardziej postarać.","False"
"Super podejście do petenta, pełen profesjonalizm.","True"
"Czekałem godzinę, żeby usłyszeć, że to nie ten urząd.","False"
"Bezproblemowo, szybko i z uśmiechem.","True"
"Brak organizacji, ludzie odsyłani z kwitkiem.","False"
"Miła niespodzianka, urzędnik sam zaproponował pomoc.","True"
"Papierologia bez sensu, a obsługa jeszcze gorsza.","False"
"Sprawnie i konkretnie, takich urzędów nam trzeba!","True"
"Trzy różne odpowiedzi od trzech osób, masakra.","False"
"Obsługa na poziomie, nie mam zastrzeżeń.","True"
"Kolejka na pół dnia, a potem jeszcze chamstwo.","False"
"Neutralne podejście, ani źle, ani dobrze.","False"
"Rewelacja, pani nawet podpowiedziała, co mogę zrobić.","True"
"Zero empatii, traktują człowieka jak numer.","False"
"Dobrze zorganizowane, szybko załatwione.","True"
"Urzędnik nie wiedział, o co chodzi w mojej sprawie.","False"
"Pomocna obsługa, wszystko załatwione od ręki.","True"
"Czekanie bez końca, a potem brak przeprosin.","False"
"Sympatyczni ludzie, aż dziw, że to urząd.","True"
"Pani w okienku patrzyła na mnie jak na intruza.","False"
"Standardowa wizyta, bez rewelacji.","False"
"Fantastyczne podejście, urzędnik sam przyspieszył sprawę.","True"
"Kompletny brak szacunku dla czasu petenta.","False"
"Szybko, sprawnie i uprzejmie – brawo!","True"
"Urzędnicy niekompetentni, każdy mówi co innego.","False"
"Miłe zaskoczenie, wszystko poszło jak po maśle.","True"
"Godzinne czekanie na głupią pieczątkę.","False"
"Obsługa pierwsza klasa, aż chce się tam wracać.","True"
"Zero komunikacji, musiałem biegać między pokojami.","False"
"Pani bardzo miła, pomogła wypełnić wniosek.","True"
"Tragedia, nikt nie wie, gdzie co załatwić.","False"
"Świetna organizacja, żadnych problemów.","True"
"Chamstwo i ignorancja, najgorszy urząd ever.","False"
"Prosto, szybko i bez zbędnych pytań.","True"
